X-Axis,statusabsTime,statuscmdId,statusfx,statusfy,statusfz,statusrelTime,statusx,statusy,statusz
125.0000000000,1572533290.998,3393.000000000,-14.31951500000,-1.811502000000,-44.18977600000,990.5640000000,279.2099609375,-257.2000732422,-109.5616531372
126.0000000000,1572533291.078,3393.000000000,-14.41605600000,-1.825145000000,-44.72168400000,990.6440000000,279.2099609375,-257.2000732422,-109.5616531372
127.0000000000,1572533291.154,3393.000000000,-14.36391500000,-1.812289000000,-44.75376800000,990.7200000000,279.2099609375,-257.2000732422,-109.5616531372
128.0000000000,1572533291.232,3393.000000000,-14.36056200000,-1.748524000000,-44.39618000000,990.7980000000,279.2099609375,-257.2000732422,-109.5616531372
129.0000000000,1572533291.308,3393.000000000,-14.29920100000,-1.739733000000,-44.28722800000,990.8740000000,279.2099609375,-257.2000732422,-109.5616531372
130.0000000000,1572533291.387,3393.000000000,-14.36331900000,-1.768688000000,-44.63791600000,990.9530000000,279.2099609375,-257.2000732422,-109.5616531372
131.0000000000,1572533291.473,3393.000000000,-14.30922700000,-1.719987000000,-44.19905600000,991.0390000000,279.2099609375,-257.2000732422,-109.5616531372
132.0000000000,1572533291.552,3393.000000000,-14.34230000000,-1.680228000000,-44.11785600000,991.1180000000,279.2099609375,-257.2000732422,-109.5616531372
133.0000000000,1572533291.628,3393.000000000,-14.35248500000,-1.716709000000,-44.21034800000,991.1940000000,279.2099609375,-257.2000732422,-109.5616531372
134.0000000000,1572533291.706,3393.000000000,-14.33503800000,-1.684115000000,-44.18496000000,991.2720000000,279.2099609375,-257.2000732422,-109.5616531372
135.0000000000,1572533291.784,3393.000000000,-14.34414200000,-1.698380000000,-44.26260400000,991.3500000000,279.2099609375,-257.2000732422,-109.5616531372
136.0000000000,1572533291.864,3393.000000000,-14.35240800000,-1.645001000000,-44.09390400000,991.4300000000,279.2099609375,-257.2000732422,-109.5616531372
137.0000000000,1572533291.939,3393.000000000,-14.30087000000,-1.605650000000,-44.07214800000,991.5050000000,279.2099609375,-257.2000732422,-109.5616531372
138.0000000000,1572533292.018,3393.000000000,-14.35224700000,-1.642636000000,-44.15465600000,991.5840000000,279.2099609375,-257.2000732422,-109.5616531372
139.0000000000,1572533292.092,3393.000000000,-14.30340500000,-1.606354000000,-43.93178800000,991.6580000000,279.2099609375,-257.2000732422,-109.5616531372
140.0000000000,1572533292.171,3393.000000000,-14.32465600000,-1.621006000000,-44.10607200000,991.7370000000,279.2099609375,-257.2000732422,-109.5616531372
141.0000000000,1572533292.248,3393.000000000,-14.32293900000,-1.602786000000,-44.10703200000,991.8140000000,279.2099609375,-257.2000732422,-109.5616531372
142.0000000000,1572533292.325,3393.000000000,-14.32779900000,-1.583167000000,-43.94632000000,991.8910000000,279.2099609375,-257.2000732422,-109.5616531372
143.0000000000,1572533292.401,3393.000000000,-14.37687600000,-1.646352000000,-44.18588800000,991.9670000000,279.2099609375,-257.2000732422,-109.5616531372
